PLAYER_NAME,LOC_X,LOC_Y,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_DISTANCE,TEAM_NAME,SEASON
LeBron James,122,149,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-60,165,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-71,17,1,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,-8,9,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-75,165,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,0,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-86,26,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,-13,115,1,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-27,26,0,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,12,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-191,159,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,237,39,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,114,225,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,81,208,1,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-152,162,1,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-210,134,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-22,6,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,11,10,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-162,37,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,-125,150,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-28,40,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,71,234,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-14,53,1,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,-118,98,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,151,23,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-19,1,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,11,39,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,63,53,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,-28,12,1,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,152,20,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,236,45,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,211,124,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-10,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,77,186,0,2PT Field Goal,20,Miami Heat,2012-13 Season
LeBron James,84,146,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,174,52,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,12,4,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-109,135,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-73,91,1,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,8,-1,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,7,4,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,225,4,0,3PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,140,142,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,4,11,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,184,78,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,80,153,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,20,33,1,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,-11,17,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-76,142,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,18,6,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-13,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-19,12,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-10,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-15,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-11,67,1,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,21,124,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-103,112,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-169,142,0,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,4,7,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-111,55,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,69,239,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,9,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-5,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-68,178,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,231,7,1,3PT Field Goal,23,Miami Heat,2012-13 Season
LeBron James,-183,192,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,-4,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-8,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,230,9,1,3PT Field Goal,23,Miami Heat,2012-13 Season
LeBron James,21,8,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-223,124,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-2,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,43,112,0,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-103,74,1,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,4,12,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,2,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-158,1,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-223,108,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,0,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,34,213,1,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,6,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,20,4,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,2,301,0,3PT Field Goal,30,Miami Heat,2012-13 Season
LeBron James,13,3,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,105,45,0,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-87,45,1,2PT Field Goal,9,Miami Heat,2012-13 Season
LeBron James,189,60,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,185,20,0,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,29,12,1,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,7,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-8,194,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,69,255,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,26,0,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,13,189,0,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,-90,173,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,149,4,0,2PT Field Goal,14,Miami Heat,2012-13 Season
LeBron James,0,-5,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,-2,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-19,11,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,47,25,0,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,-2,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,40,23,1,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,-136,146,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-153,110,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,-11,6,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-144,124,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-11,0,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-155,205,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,47,36,0,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,0,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-51,19,0,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,0,47,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,0,4,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,70,208,0,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,15,4,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,230,37,0,3PT Field Goal,23,Miami Heat,2012-13 Season
LeBron James,-125,20,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,6,195,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,4,15,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,36,23,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,132,44,0,2PT Field Goal,13,Miami Heat,2012-13 Season
LeBron James,-100,89,1,2PT Field Goal,13,Miami Heat,2012-13 Season
LeBron James,2,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,122,17,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,226,0,1,3PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-193,159,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,130,213,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,20,192,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-142,9,0,2PT Field Goal,14,Miami Heat,2012-13 Season
LeBron James,73,203,1,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,-138,116,0,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,121,140,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,4,254,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,2,26,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,48,241,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,23,7,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,234,6,1,3PT Field Goal,23,Miami Heat,2012-13 Season
LeBron James,29,16,0,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,124,241,1,3PT Field Goal,27,Miami Heat,2012-13 Season
LeBron James,23,0,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-10,20,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,91,89,1,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-95,159,0,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,-5,48,1,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,-8,33,1,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,160,26,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,10,23,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,2,89,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,132,209,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-111,55,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,6,26,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,18,93,1,2PT Field Goal,9,Miami Heat,2012-13 Season
LeBron James,-150,222,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,-164,64,1,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,168,64,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,9,33,1,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,9,26,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-106,116,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,45,274,0,3PT Field Goal,27,Miami Heat,2012-13 Season
LeBron James,-60,56,1,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,9,86,1,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,-87,33,0,2PT Field Goal,9,Miami Heat,2012-13 Season
LeBron James,20,41,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,-24,149,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-19,3,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,20,4,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,0,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,140,137,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,18,1,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,29,33,1,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,-103,105,1,2PT Field Goal,14,Miami Heat,2012-13 Season
LeBron James,173,55,0,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,-182,25,0,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,-16,23,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-131,175,0,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,-8,9,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,130,173,0,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,2,228,0,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-10,-2,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,62,26,0,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,-188,41,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-18,6,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,7,165,1,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,206,165,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,-163,-11,1,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,124,162,0,2PT Field Goal,20,Miami Heat,2012-13 Season
LeBron James,-144,69,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,100,121,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,179,186,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-92,22,0,2PT Field Goal,9,Miami Heat,2012-13 Season
LeBron James,-158,-2,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-49,108,1,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,2,41,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,-243,9,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-2,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,212,152,1,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,-123,0,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-161,19,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,130,142,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-105,23,0,2PT Field Goal,10,Miami Heat,2012-13 Season
LeBron James,-2,0,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,21,-2,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-60,222,0,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,21,6,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,95,129,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,12,86,1,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,2,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,59,17,0,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,36,67,0,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,-81,137,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-134,131,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,136,112,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,91,134,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,1,118,0,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-198,154,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-161,71,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-2,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,6,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,228,28,0,3PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-60,249,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-2,257,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,1,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,10,1,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-2,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-18,6,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-108,121,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,-202,151,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,179,172,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,3,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,9,17,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,7,61,1,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,108,407,0,3PT Field Goal,42,Miami Heat,2012-13 Season
LeBron James,10,1,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,31,17,0,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,13,-2,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,17,257,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-4,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,12,211,1,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,-138,162,1,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,110,227,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,1,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,136,206,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-106,118,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-202,149,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,7,9,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-62,28,0,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,-70,252,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,1,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,115,1,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-2,12,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-142,121,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,121,217,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,20,3,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,7,86,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,17,6,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,47,31,1,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,-163,200,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-111,181,0,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,1,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,12,11,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,18,9,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,0,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,51,61,1,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,0,258,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-13,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-171,181,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,4,80,1,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,-2,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,67,0,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,12,7,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,81,148,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,2,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-5,-6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-123,20,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-128,-33,1,2PT Field Goal,13,Miami Heat,2012-13 Season
LeBron James,78,156,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-196,67,0,2PT Field Goal,20,Miami Heat,2012-13 Season
LeBron James,106,72,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-4,-3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-10,-22,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,88,44,0,2PT Field Goal,9,Miami Heat,2012-13 Season
LeBron James,-220,119,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,0,-5,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,31,-2,0,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,-2,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,15,25,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,2,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,70,-16,0,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,0,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,-8,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,100,249,1,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,7,-17,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,13,0,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,95,239,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,23,-8,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,244,-24,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,174,28,1,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,9,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,181,170,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-68,179,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,177,26,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,4,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,177,172,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,170,175,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,193,154,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,37,19,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,7,1,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-89,146,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,4,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,67,108,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,0,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-4,9,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-5,64,1,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,-11,261,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,-10,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,0,9,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-11,4,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,47,58,0,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,40,12,1,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,12,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,0,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,1,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-116,89,1,2PT Field Goal,14,Miami Heat,2012-13 Season
LeBron James,193,44,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,21,17,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,3,8,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,12,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,1,104,0,2PT Field Goal,10,Miami Heat,2012-13 Season
LeBron James,0,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-185,67,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,173,20,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,146,41,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-120,12,1,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-125,101,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,13,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
